group,n_after_binning,signal,noise,snr,noise_signal_ratio,snr_reason,removed_source,source_reason,n_removed_points,n_final,outlier_fraction,max_abs_local_z
"source_id=2342868174221011968, lensComponentSourceId=2342868174221012033",36,9.459609985351562,7.504830956459045,1.2604694283233833,0.7933552195154409,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,35,0.027777777777777776,9.852015804259155
"source_id=2342868174221011968, lensComponentSourceId=2342868174221012035",28,69.3132764816284,5.775706728299459,12.00083032990775,0.08332756755237677,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,28,0.0,2.3179824996997165
"source_id=2453634448777227392, lensComponentSourceId=2453634448777227457",29,119.65488281249964,60.55582618713379,1.975943362455891,0.5060873803372099,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,28,0.034482758620689655,9.061503438517386
"source_id=2453634448777227392, lensComponentSourceId=2453634448777227459",30,5.729386647542313,5.827655792236328,0.9831374487105209,1.0171517739575437,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,30,0.0,3.4032831621917214
"source_id=2629769477038098048, lensComponentSourceId=2629769477038098113",27,7.89864883422851,8.057068824768066,0.9803377637717875,1.0200565937117054,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,24,0.1111111111111111,4.646783676889218
"source_id=2629769477038098048, lensComponentSourceId=2629769477038098115",31,7.812455654144287,5.965132236480713,1.3096869179807908,0.7635412603355232,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,31,0.0,3.278515543026265
"source_id=2658594961066788480, lensComponentSourceId=2658594961066788545",38,76.97901992797853,7.846845587094625,9.810186663362238,0.10193485958169024,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,38,0.0,3.724117762940434
"source_id=2658594961066788480, lensComponentSourceId=2658594961066788547",35,5.1053222656249915,5.95463228225708,0.8573698632638049,1.1663577679220445,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,35,0.0,2.543889479253448
"source_id=2708930710760533120, lensComponentSourceId=2708930710760533185",34,69.57801831563313,8.19176169236501,8.49365752185908,0.11773490954002126,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,34,0.0,3.319979540384972
"source_id=2708930710760533120, lensComponentSourceId=2708930710760533187",32,7.71726570129394,7.040003418922424,1.0962019820261935,0.9122406421411718,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,32,0.0,3.3911764595876743
